id,date_time,year,month,mdate,day,time,sensor_id,sensor_name,hourly_counts
1683072,11/21/2016 1:00,2016,November,21,Monday,1,44,Tin Alley-Swanston St (West),7
1683073,11/21/2016 1:00,2016,November,21,Monday,1,53,Collins St (North),30
1683074,11/21/2016 2:00,2016,November,21,Monday,2,1,Bourke Street Mall (North),42
1683075,11/21/2016 2:00,2016,November,21,Monday,2,2,Bourke Street Mall (South),28
1683076,11/21/2016 2:00,2016,November,21,Monday,2,5,Princes Bridge,46
1683077,11/21/2016 2:00,2016,November,21,Monday,2,6,Flinders Street Station Underpass,41
1683078,11/21/2016 2:00,2016,November,21,Monday,2,8,Webb Bridge,3
1683079,11/21/2016 2:00,2016,November,21,Monday,2,9,Southern Cross Station,1
1683080,11/21/2016 2:00,2016,November,21,Monday,2,10,Victoria Point,5
1683081,11/21/2016 2:00,2016,November,21,Monday,2,11,Waterfront City,9
1683082,11/21/2016 2:00,2016,November,21,Monday,2,12,New Quay,11
1683083,11/21/2016 2:00,2016,November,21,Monday,2,13,Flagstaff Station,28
1683084,11/21/2016 2:00,2016,November,21,Monday,2,14,Sandridge Bridge,37
1683085,11/21/2016 2:00,2016,November,21,Monday,2,15,State Library,20
1683086,11/21/2016 2:00,2016,November,21,Monday,2,17,Collins Place (South),16
1683087,11/21/2016 2:00,2016,November,21,Monday,2,18,Collins Place (North),5
1683088,11/21/2016 2:00,2016,November,21,Monday,2,19,Chinatown-Swanston St (North),54
1683089,11/21/2016 2:00,2016,November,21,Monday,2,20,Chinatown-Lt Bourke St (South),22
1683090,11/21/2016 2:00,2016,November,21,Monday,2,21,Bourke St-Russell St (West),165
1683091,11/21/2016 2:00,2016,November,21,Monday,2,24,Spencer St-Collins St (North),33
1683092,11/21/2016 2:00,2016,November,21,Monday,2,25,Melbourne Convention Exhibition Centre,31
1683093,11/21/2016 2:00,2016,November,21,Monday,2,26,QV Market-Elizabeth St (West),48
1683094,11/21/2016 2:00,2016,November,21,Monday,2,27,QV Market-Peel St,3
1683095,11/21/2016 2:00,2016,November,21,Monday,2,28,The Arts Centre,32
1683096,11/21/2016 2:00,2016,November,21,Monday,2,29,St Kilda Rd-Alexandra Gardens,7
1683097,11/21/2016 2:00,2016,November,21,Monday,2,30,Lonsdale St (South),84
1683098,11/21/2016 2:00,2016,November,21,Monday,2,31,Lygon St (West),12
1683099,11/21/2016 2:00,2016,November,21,Monday,2,32,City Square,23
1683100,11/21/2016 2:00,2016,November,21,Monday,2,33,Flinders St-Spring St (West),3
1683101,11/21/2016 2:00,2016,November,21,Monday,2,34,Flinders St-Spark La,5
1683102,11/21/2016 2:00,2016,November,21,Monday,2,35,Southbank,20
1683103,11/21/2016 2:00,2016,November,21,Monday,2,36,Queen St (West),5
1683104,11/21/2016 2:00,2016,November,21,Monday,2,37,Lygon St (East),3
1683105,11/21/2016 2:00,2016,November,21,Monday,2,38,Flinders St-Swanston St (West),116
1683106,11/21/2016 2:00,2016,November,21,Monday,2,39,Alfred Place,3
1683107,11/21/2016 2:00,2016,November,21,Monday,2,40,Lonsdale St-Spring St (West),11
1683108,11/21/2016 2:00,2016,November,21,Monday,2,42,Grattan St-Swanston St (West),8
1683109,11/21/2016 2:00,2016,November,21,Monday,2,43,Monash Rd-Swanston St (West),5
1683110,11/21/2016 2:00,2016,November,21,Monday,2,44,Tin Alley-Swanston St (West),7
1683111,11/21/2016 2:00,2016,November,21,Monday,2,53,Collins St (North),14
1683112,11/21/2016 3:00,2016,November,21,Monday,3,1,Bourke Street Mall (North),20
