,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name,hourly_counts
0,2887628,2019-11-01T17:00:00.000,2019,November,1,Friday,17,34,Flinders St-Spark La,300
1,2887629,2019-11-01T17:00:00.000,2019,November,1,Friday,17,39,Alfred Place,604
2,2887630,2019-11-01T17:00:00.000,2019,November,1,Friday,17,37,Lygon St (East),216
3,2887631,2019-11-01T17:00:00.000,2019,November,1,Friday,17,40,Lonsdale St-Spring St (West),627
4,2887632,2019-11-01T17:00:00.000,2019,November,1,Friday,17,36,Queen St (West),774
5,2887633,2019-11-01T17:00:00.000,2019,November,1,Friday,17,29,St Kilda Rd-Alexandra Gardens,644
6,2887634,2019-11-01T17:00:00.000,2019,November,1,Friday,17,42,Grattan St-Swanston St (West),453
7,2887635,2019-11-01T17:00:00.000,2019,November,1,Friday,17,43,Monash Rd-Swanston St (West),387
8,2887636,2019-11-01T17:00:00.000,2019,November,1,Friday,17,44,Tin Alley-Swanston St (West),27
9,2887637,2019-11-01T17:00:00.000,2019,November,1,Friday,17,35,Southbank,2691
10,2887638,2019-11-01T17:00:00.000,2019,November,1,Friday,17,45,Little Collins St-Swanston St (East),2173
11,2887639,2019-11-01T17:00:00.000,2019,November,1,Friday,17,46,Pelham St (S),203
12,2887640,2019-11-01T17:00:00.000,2019,November,1,Friday,17,47,Melbourne Central-Elizabeth St (East),2354
13,2887641,2019-11-01T17:00:00.000,2019,November,1,Friday,17,48,QVM-Queen St (East),358
14,2887642,2019-11-01T17:00:00.000,2019,November,1,Friday,17,49,QVM-Therry St (South),161
15,2887643,2019-11-01T17:00:00.000,2019,November,1,Friday,17,50,Faraday St-Lygon St (West),502
16,2887644,2019-11-01T17:00:00.000,2019,November,1,Friday,17,51,QVM-Franklin St (North),159
17,2887645,2019-11-01T17:00:00.000,2019,November,1,Friday,17,52,Elizabeth St-Lonsdale St (South),914
18,2887646,2019-11-01T17:00:00.000,2019,November,1,Friday,17,54,Lincoln-Swanston(West),276
19,2887647,2019-11-01T17:00:00.000,2019,November,1,Friday,17,55,Elizabeth St-La Trobe St (East),2070
20,2887648,2019-11-01T17:00:00.000,2019,November,1,Friday,17,56,Lonsdale St - Elizabeth St (North),789
21,2887649,2019-11-01T17:00:00.000,2019,November,1,Friday,17,57,Bourke St Bridge,2122
22,2887650,2019-11-01T17:00:00.000,2019,November,1,Friday,17,58,Bourke St - Spencer St (North),2528
23,2887651,2019-11-01T17:00:00.000,2019,November,1,Friday,17,59,Swanston St - RMIT Building 80,485
24,2887652,2019-11-01T17:00:00.000,2019,November,1,Friday,17,61,Swanston St - RMIT Building 14,1240
25,2887653,2019-11-01T17:00:00.000,2019,November,1,Friday,17,62,La Trobe St (North),229
