,ID,Date_Time,Year,Month,Mdate,Day,Time,sensor_id,Sensor_Name,Hourly_Counts,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
31,1683029,11,2016,November,21,Monday,0,38,Flinders St-Swanston St (West),552,Flinders St-Swanston St (West),Swa11_T,2014/12/05,R,Device has been removed (17/02/2017),,,-37.81723437,144.96715033,"(-37.81723437, 144.96715033)"
32,1683030,11,2016,November,21,Monday,0,39,Alfred Place,8,Alfred Place,AlfPl_T,2019/12/04,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
33,1683031,11,2016,November,21,Monday,0,40,Lonsdale St-Spring St (West),13,Lonsdale St-Spring St (West),Spr201_T,2015/01/19,A,,South,North,-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
34,1683032,11,2016,November,21,Monday,0,42,Grattan St-Swanston St (West),21,Grattan St-Swanston St (West),UM1_T,2015/04/15,A,,South,North,-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
35,1683033,11,2016,November,21,Monday,0,43,Monash Rd-Swanston St (West),13,Monash Rd-Swanston St (West),UM2_T,2015/04/15,A,,South,North,-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
36,1683034,11,2016,November,21,Monday,0,44,Tin Alley-Swanston St (West),10,Tin Alley-Swanston St (West),UM3_T,2015/04/15,A,,South,North,-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
37,1683035,11,2016,November,21,Monday,0,53,Collins St (North),49,Collins Street (North),Col254_T,2015/09/23,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
38,1683036,11,2016,November,21,Monday,1,1,Bourke Street Mall (North),71,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,West,East,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
39,1683037,11,2016,November,21,Monday,1,2,Bourke Street Mall (South),54,Bourke Street Mall (South),Bou283_T,2009/03/30,A,,East,West,-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
40,1683038,11,2016,November,21,Monday,1,5,Princes Bridge,113,Princes Bridge,PriNW_T,2009/03/26,A,,North,South,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
41,1683039,11,2016,November,21,Monday,1,6,Flinders Street Station Underpass,71,Flinders Street Station Underpass,FliS_T,2009/03/25,A,Upgraded on 8/09/21,North,South,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)"
42,1683040,11,2016,November,21,Monday,1,8,Webb Bridge,6,Webb Bridge,WebBN_T,2009/03/24,A,,North,South,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)"
43,1683041,11,2016,November,21,Monday,1,9,Southern Cross Station,2,Southern Cross Station,Col700_T,2009/03/23,A,,East,West,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
44,1683042,11,2016,November,21,Monday,1,10,Victoria Point,2,Victoria Point,BouHbr_T,2009/04/23,A,,West,East,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
45,1683043,11,2016,November,21,Monday,1,11,Waterfront City,2,Waterfront City,WatCit_T,2009/01/20,A,,East,West,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
46,1683044,11,2016,November,21,Monday,1,12,New Quay,23,New Quay,NewQ_T,2009/01/21,A,,West,East,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
47,1683045,11,2016,November,21,Monday,1,13,Flagstaff Station,39,Flagstaff Station,Wil277_T,2009/03/24,R,,,,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)"
48,1683046,11,2016,November,21,Monday,1,14,Sandridge Bridge,68,Sandridge Bridge,SanBri_T,2019/09/25,A,,North,South,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
49,1683047,11,2016,November,21,Monday,1,15,State Library,80,State Library,QV_T,2009/03/25,R,,South,North,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
50,1683048,11,2016,November,21,Monday,1,17,Collins Place (South),4,Collins Place (South),Col15_T,2009/03/30,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
51,1683049,11,2016,November,21,Monday,1,18,Collins Place (North),8,Collins Place (North),Col12_T,2009/03/30,A,,East,West,-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
52,1683050,11,2016,November,21,Monday,1,19,Chinatown-Swanston St (North),107,Chinatown-Swanston St (North),LtB210_T,2013/09/02,A,,East,West,-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
53,1683051,11,2016,November,21,Monday,1,20,Chinatown-Lt Bourke St (South),46,Chinatown-Lt Bourke St (South),LtB170_T,2013/09/06,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
54,1683052,11,2016,November,21,Monday,1,21,Bourke St-Russell St (West),279,Bourke St-Russell St (West),Rus180_T,2013/09/02,A,,South,North,-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
55,1683053,11,2016,November,21,Monday,1,24,Spencer St-Collins St (North),33,Spencer St-Collins St (North),Col620_T,2013/09/02,A,,East,West,-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
56,1683054,11,2016,November,21,Monday,1,25,Melbourne Convention Exhibition Centre,30,Melbourne Convention Exhibition Centre,MCEC_T,2019/10/02,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
57,1683055,11,2016,November,21,Monday,1,26,QV Market-Elizabeth St (West),65,QV Market-Elizabeth St (West),Eli483_T,2013/09/28,A,,South,North,-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
58,1683056,11,2016,November,21,Monday,1,27,QV Market-Peel St,12,QV Market-Peel St,Vic_T,2013/08/16,A,,East,West,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
59,1683057,11,2016,November,21,Monday,1,28,The Arts Centre,16,The Arts Centre,VAC_T,2013/08/23,A,,South,North,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
