,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
184952,2654782,5/2/2019,2019,May,2,Thursday,0,34,Flinders St-Spark La,14,Flinders St-Spark La,Fli32_T,6/8/2014,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
184953,2654783,5/2/2019,2019,May,2,Thursday,0,35,Southbank,119,Southbank,SouthB_T,4/15/2021,A,River side,East,West,-37.82017828,144.9650888,"(-37.82017828, 144.96508877)"
184954,2654784,5/2/2019,2019,May,2,Thursday,0,36,Queen St (West),20,Queen St (West),Que85_T,1/20/2015,A,,South,North,-37.81652527,144.9612106,"(-37.81652527, 144.96121063)"
184955,2654785,5/2/2019,2019,May,2,Thursday,0,37,Lygon St (East),14,Lygon St (East),Lyg260_T,2/11/2015,A,,North,South,-37.80310271,144.9667145,"(-37.80310271, 144.96671452)"
184956,2654786,5/2/2019,2019,May,2,Thursday,0,39,Alfred Place,22,Alfred Place,AlfPl_T,12/4/2019,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)"
184957,2654787,5/2/2019,2019,May,2,Thursday,0,40,Lonsdale St-Spring St (West),22,Lonsdale St-Spring St (West),Spr201_T,1/19/2015,A,,South,North,-37.80999341,144.9722759,"(-37.80999341, 144.97227588)"
184958,2654788,5/2/2019,2019,May,2,Thursday,0,42,Grattan St-Swanston St (West),81,Grattan St-Swanston St (West),UM1_T,4/15/2015,A,,South,North,-37.80008565,144.9638641,"(-37.80008565, 144.96386412)"
184959,2654789,5/2/2019,2019,May,2,Thursday,0,43,Monash Rd-Swanston St (West),34,Monash Rd-Swanston St (West),UM2_T,4/15/2015,A,,South,North,-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
184960,2654790,5/2/2019,2019,May,2,Thursday,0,44,Tin Alley-Swanston St (West),23,Tin Alley-Swanston St (West),UM3_T,4/15/2015,A,,South,North,-37.79690473,144.9644038,"(-37.79690473, 144.96440378)"
184961,2654791,5/2/2019,2019,May,2,Thursday,0,46,Pelham St (South),16,Pelham St (South),Pel147_T,7/10/2017,A,,West,East,-37.80240719,144.9615673,"(-37.80240719, 144.96156731)"
184962,2654792,5/2/2019,2019,May,2,Thursday,0,47,Melbourne Central-Elizabeth St (East),126,Melbourne Central-Elizabeth St (East),Eli250_T,8/24/2017,A,,South,North,-37.81160331,144.9622008,"(-37.81160331, 144.96220077)"
184963,2654793,5/2/2019,2019,May,2,Thursday,0,48,QVM-Queen St (East),34,QVM-Queen St (East),QVMQ_T,10/2/2017,A,,East,West,-37.80631581,144.958667,"(-37.80631581, 144.95866698)"
184964,2654794,5/2/2019,2019,May,2,Thursday,0,49,QVM-Therry St (South),65,QVM-Therry St (South),Eli501_T,11/29/2017,A,,West,East,-37.80730067,144.9595606,"(-37.80730067, 144.95956055)"
184965,2654795,5/2/2019,2019,May,2,Thursday,0,50,Faraday St-Lygon St (West),28,Faraday St-Lygon St (West),Lyg309_T,11/30/2017,A,,North,South,-37.79808191,144.9672101,"(-37.79808191, 144.96721014)"
184966,2654796,5/2/2019,2019,May,2,Thursday,0,51,QVM-Franklin St (North),28,QVM-Franklin St (North),Fra118_T,11/30/2017,A,,West,East,-37.80841814,144.9590632,"(-37.80841814, 144.95906317)"
184967,2654797,5/2/2019,2019,May,2,Thursday,0,52,Elizabeth St-Lonsdale St (South),64,Elizabeth St-Lonsdale St (South),Eli263_T,7/31/2017,A,,West,East,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
184968,2654798,5/2/2019,2019,May,2,Thursday,0,53,Collins St (North),60,Collins Street (North),Col254_T,9/23/2015,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
184969,2654799,5/2/2019,2019,May,2,Thursday,0,54,Lincoln-Swanston (West),65,Lincoln-Swanston (West),Swa607_T,6/26/2018,A,,South,North,-37.804024,144.963084,"(-37.804024, 144.963084)"
184970,2654800,5/2/2019,2019,May,2,Thursday,0,56,Lonsdale St - Elizabeth St (North),47,Lonsdale St - Elizabeth St (North),Lon364_T,7/25/2018,A,,East,West,-37.81234775,144.9615331,"(-37.81234775, 144.96153311)"
184971,2654801,5/2/2019,2019,May,2,Thursday,0,57,Bourke St Bridge,35,Bourke St Bridge,BouBri_T,8/13/2018,A,,West,East,-37.8176735,144.950256,"(-37.8176735, 144.95025595)"
184972,2654802,5/2/2019,2019,May,2,Thursday,0,58,Bourke St - Spencer St (North),101,Bourke St - Spencer St (North),Bou688_T,9/27/2018,A,,West,East,-37.81686074,144.9535808,"(-37.81686074, 144.95358075)"
184973,2654803,5/2/2019,2019,May,2,Thursday,0,59,Swanston St - RMIT Building 80,5,Building 80 RMIT,RMIT_T,2/13/2019,A,,North,South,-37.80825648,144.9630486,"(-37.80825648, 144.96304859)"
184974,2654804,5/2/2019,2019,May,2,Thursday,0,60,Flinders La - Swanston St (West) Temp,250,Flinders La - Swanston St (West) Temporary,Swa31T_T,3/8/2019,R,Temporary for the duration of the metro tunnel works. Installed under the scaffolding.,North,South,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)"
184975,2654805,5/2/2019,2019,May,2,Thursday,1,1,Bourke Street Mall (North),54,Bourke Street Mall (North),Bou292_T,3/24/2009,A,,West,East,-37.8134944,144.9651532,"(-37.8134944, 144.96515324)"
184976,2654806,5/2/2019,2019,May,2,Thursday,1,2,Bourke Street Mall (South),33,Bourke Street Mall (South),Bou283_T,3/30/2009,A,,East,West,-37.81380667,144.9651672,"(-37.81380667, 144.96516719)"
184977,2654807,5/2/2019,2019,May,2,Thursday,1,3,Melbourne Central,156,Melbourne Central,Swa295_T,3/25/2009,A,,North,South,-37.81101523,144.9642949,"(-37.81101523, 144.96429485)"
184978,2654808,5/2/2019,2019,May,2,Thursday,1,4,Town Hall (West),85,Town Hall (West),Swa123_T,3/23/2009,A,,South,North,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
184979,2654809,5/2/2019,2019,May,2,Thursday,1,5,Princes Bridge,84,Princes Bridge,PriNW_T,3/26/2009,A,,North,South,-37.81874249,144.9678766,"(-37.81874249, 144.96787656)"
184980,2654810,5/2/2019,2019,May,2,Thursday,1,6,Flinders Street Station Underpass,76,Flinders Street Station Underpass,FliS_T,3/25/2009,A,Upgraded on 8/09/21,North,South,-37.81911704,144.9655826,"(-37.81911704, 144.96558256)"
184981,2654811,5/2/2019,2019,May,2,Thursday,1,7,Birrarung Marr,12,Birrarung Marr,Fed_T,12/17/2014,A,,East,West,-37.81862929,144.971694,"(-37.81862929, 144.97169395)"
184982,2654812,5/2/2019,2019,May,2,Thursday,1,8,Webb Bridge,8,Webb Bridge,WebBN_T,3/24/2009,A,,North,South,-37.82293543,144.9471751,"(-37.82293543, 144.94717511)"
184983,2654813,5/2/2019,2019,May,2,Thursday,1,9,Southern Cross Station,11,Southern Cross Station,Col700_T,3/23/2009,A,,East,West,-37.81982992,144.9510256,"(-37.81982992, 144.95102556)"
184984,2654814,5/2/2019,2019,May,2,Thursday,1,10,Victoria Point,4,Victoria Point,BouHbr_T,4/23/2009,A,,West,East,-37.81876473,144.9471055,"(-37.81876473, 144.94710545)"
184985,2654815,5/2/2019,2019,May,2,Thursday,1,11,Waterfront City,6,Waterfront City,WatCit_T,1/20/2009,A,,East,West,-37.81564989,144.939707,"(-37.81564989, 144.93970695)"
184986,2654816,5/2/2019,2019,May,2,Thursday,1,12,New Quay,17,New Quay,NewQ_T,1/21/2009,A,,West,East,-37.81457987,144.942924,"(-37.81457987, 144.94292398)"
184987,2654817,5/2/2019,2019,May,2,Thursday,1,14,Sandridge Bridge,20,Sandridge Bridge,SanBri_T,9/25/2019,A,,North,South,-37.82011242,144.962919,"(-37.82011242, 144.96291898)"
184988,2654818,5/2/2019,2019,May,2,Thursday,1,15,State Library,66,State Library,QV_T,3/25/2009,R,,South,North,-37.81064378,144.9644713,"(-37.81064378, 144.96447132)"
184989,2654819,5/2/2019,2019,May,2,Thursday,1,17,Collins Place (South),10,Collins Place (South),Col15_T,3/30/2009,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.9732359,"(-37.81362542, 144.97323592)"
184990,2654820,5/2/2019,2019,May,2,Thursday,1,18,Collins Place (North),6,Collins Place (North),Col12_T,3/30/2009,A,,East,West,-37.81344861,144.9730535,"(-37.81344861, 144.97305354)"
184991,2654821,5/2/2019,2019,May,2,Thursday,1,19,Chinatown-Swanston St (North),71,Chinatown-Swanston St (North),LtB210_T,9/2/2013,A,,East,West,-37.81237202,144.9655067,"(-37.81237202, 144.96550671)"
184992,2654822,5/2/2019,2019,May,2,Thursday,1,20,Chinatown-Lt Bourke St (South),56,Chinatown-Lt Bourke St (South),LtB170_T,9/6/2013,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
184993,2654823,5/2/2019,2019,May,2,Thursday,1,21,Bourke St-Russell St (West),146,Bourke St-Russell St (West),Rus180_T,9/2/2013,A,,South,North,-37.81244703,144.9677876,"(-37.81244703, 144.96778757)"
184994,2654824,5/2/2019,2019,May,2,Thursday,1,22,Flinders St-Elizabeth St (East),155,Flinders St-Elizabeth St (East),Eli274_T,8/12/2013,A,,South,North,-37.81786445,144.9650682,"(-37.81786445, 144.96506823)"
184995,2654825,5/2/2019,2019,May,2,Thursday,1,23,Spencer St-Collins St (South),12,Spencer St-Collins St (South),Col623_T,9/2/2013,A,,East,West,-37.81909256,144.9545275,"(-37.81909256, 144.95452749)"
184996,2654826,5/2/2019,2019,May,2,Thursday,1,24,Spencer St-Collins St (North),23,Spencer St-Collins St (North),Col620_T,9/2/2013,A,,East,West,-37.81887962,144.954492,"(-37.81887962, 144.95449198)"
184997,2654827,5/2/2019,2019,May,2,Thursday,1,25,Melbourne Convention Exhibition Centre,29,Melbourne Convention Exhibition Centre,MCEC_T,10/2/2019,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.9560443,"(-37.82401776, 144.95604426)"
184998,2654828,5/2/2019,2019,May,2,Thursday,1,26,QV Market-Elizabeth St (West),80,QV Market-Elizabeth St (West),Eli483_T,9/28/2013,A,,South,North,-37.80869542,144.960494,"(-37.80869542, 144.96049404)"
184999,2654829,5/2/2019,2019,May,2,Thursday,1,27,QV Market-Peel St,8,QV Market-Peel St,Vic_T,8/16/2013,A,,East,West,-37.80606888,144.9564469,"(-37.80606888, 144.95644693)"
185000,2654830,5/2/2019,2019,May,2,Thursday,1,28,The Arts Centre,30,The Arts Centre,VAC_T,8/23/2013,A,,South,North,-37.82129924,144.9687931,"(-37.82129924, 144.96879309)"
